,Sex,SocioEconomicStatus,ParentalEncouragement,IntelligenceQuotient,CollegePlans
0,male,low,low,low,yes
1,male,low,low,low,yes
2,male,low,low,low,yes
3,male,low,low,low,yes
4,male,low,low,low,no
5,male,low,low,low,no
6,male,low,low,low,no
7,male,low,low,low,no
8,male,low,low,low,no
9,male,low,low,low,no
10,male,low,low,low,no
11,male,low,low,low,no
12,male,low,low,low,no
13,male,low,low,low,no
14,male,low,low,low,no
15,male,low,low,low,no
16,male,low,low,low,no
17,male,low,low,low,no
18,male,low,low,low,no
19,male,low,low,low,no
20,male,low,low,low,no
21,male,low,low,low,no
22,male,low,low,low,no
23,male,low,low,low,no
24,male,low,low,low,no
25,male,low,low,low,no
26,male,low,low,low,no
27,male,low,low,low,no
28,male,low,low,low,no
29,male,low,low,low,no
30,male,low,low,low,no
31,male,low,low,low,no
32,male,low,low,low,no
33,male,low,low,low,no
34,male,low,low,low,no
35,male,low,low,low,no
36,male,low,low,low,no
37,male,low,low,low,no
38,male,low,low,low,no
39,male,low,low,low,no
40,male,low,low,low,no
41,male,low,low,low,no
42,male,low,low,low,no
43,male,low,low,low,no
44,male,low,low,low,no
45,male,low,low,low,no
46,male,low,low,low,no
47,male,low,low,low,no
48,male,low,low,low,no
49,male,low,low,low,no
50,male,low,low,low,no
51,male,low,low,low,no
52,male,low,low,low,no
53,male,low,low,low,no
54,male,low,low,low,no
55,male,low,low,low,no
56,male,low,low,low,no
57,male,low,low,low,no
58,male,low,low,low,no
59,male,low,low,low,no
60,male,low,low,low,no
61,male,low,low,low,no
62,male,low,low,low,no
63,male,low,low,low,no
64,male,low,low,low,no
65,male,low,low,low,no
66,male,low,low,low,no
67,male,low,low,low,no
68,male,low,low,low,no
69,male,low,low,low,no
70,male,low,low,low,no
71,male,low,low,low,no
72,male,low,low,low,no
73,male,low,low,low,no
74,male,low,low,low,no
75,male,low,low,low,no
76,male,low,low,low,no
77,male,low,low,low,no
78,male,low,low,low,no
79,male,low,low,low,no
80,male,low,low,low,no
81,male,low,low,low,no
82,male,low,low,low,no
83,male,low,low,low,no
84,male,low,low,low,no
85,male,low,low,low,no
86,male,low,low,low,no
87,male,low,low,low,no
88,male,low,low,low,no
89,male,low,low,low,no
90,male,low,low,low,no
91,male,low,low,low,no
92,male,low,low,low,no
93,male,low,low,low,no
94,male,low,low,low,no
95,male,low,low,low,no
96,male,low,low,low,no
97,male,low,low,low,no
98,male,low,low,low,no
99,male,low,low,low,no
100,male,low,low,low,no
101,male,low,low,low,no
102,male,low,low,low,no
103,male,low,low,low,no
104,male,low,low,low,no
105,male,low,low,low,no
106,male,low,low,low,no
107,male,low,low,low,no
108,male,low,low,low,no
109,male,low,low,low,no
110,male,low,low,low,no
111,male,low,low,low,no
112,male,low,low,low,no
113,male,low,low,low,no
114,male,low,low,low,no
115,male,low,low,low,no
116,male,low,low,low,no
117,male,low,low,low,no
118,male,low,low,low,no
119,male,low,low,low,no
120,male,low,low,low,no
121,male,low,low,low,no
122,male,low,low,low,no
123,male,low,low,low,no
124,male,low,low,low,no
125,male,low,low,low,no
126,male,low,low,low,no
127,male,low,low,low,no
128,male,low,low,low,no
129,male,low,low,low,no
130,male,low,low,low,no
131,male,low,low,low,no
132,male,low,low,low,no
133,male,low,low,low,no
134,male,low,low,low,no
135,male,low,low,low,no
136,male,low,low,low,no
137,male,low,low,low,no
138,male,low,low,low,no
139,male,low,low,low,no
140,male,low,low,low,no
141,male,low,low,low,no
142,male,low,low,low,no
143,male,low,low,low,no
144,male,low,low,low,no
145,male,low,low,low,no
146,male,low,low,low,no
147,male,low,low,low,no
148,male,low,low,low,no
149,male,low,low,low,no
150,male,low,low,low,no
151,male,low,low,low,no
152,male,low,low,low,no
153,male,low,low,low,no
154,male,low,low,low,no
155,male,low,low,low,no
156,male,low,low,low,no
157,male,low,low,low,no
158,male,low,low,low,no
159,male,low,low,low,no
160,male,low,low,low,no
161,male,low,low,low,no
162,male,low,low,low,no
163,male,low,low,low,no
164,male,low,low,low,no
165,male,low,low,low,no
166,male,low,low,low,no
167,male,low,low,low,no
168,male,low,low,low,no
169,male,low,low,low,no
170,male,low,low,low,no
171,male,low,low,low,no
172,male,low,low,low,no
173,male,low,low,low,no
174,male,low,low,low,no
175,male,low,low,low,no
176,male,low,low,low,no
177,male,low,low,low,no
178,male,low,low,low,no
179,male,low,low,low,no
180,male,low,low,low,no
181,male,low,low,low,no
182,male,low,low,low,no
183,male,low,low,low,no
184,male,low,low,low,no
185,male,low,low,low,no
186,male,low,low,low,no
187,male,low,low,low,no
188,male,low,low,low,no
189,male,low,low,low,no
190,male,low,low,low,no
191,male,low,low,low,no
192,male,low,low,low,no
193,male,low,low,low,no
194,male,low,low,low,no
195,male,low,low,low,no
196,male,low,low,low,no
197,male,low,low,low,no
198,male,low,low,low,no
199,male,low,low,low,no
200,male,low,low,low,no
201,male,low,low,low,no
202,male,low,low,low,no
203,male,low,low,low,no
204,male,low,low,low,no
205,male,low,low,low,no
206,male,low,low,low,no
207,male,low,low,low,no
208,male,low,low,low,no
209,male,low,low,low,no
210,male,low,low,low,no
211,male,low,low,low,no
212,male,low,low,low,no
213,male,low,low,low,no
214,male,low,low,low,no
215,male,low,low,low,no
216,male,low,low,low,no
217,male,low,low,low,no
218,male,low,low,low,no
219,male,low,low,low,no
220,male,low,low,low,no
221,male,low,low,low,no
222,male,low,low,low,no
223,male,low,low,low,no
224,male,low,low,low,no
225,male,low,low,low,no
226,male,low,low,low,no
227,male,low,low,low,no
228,male,low,low,low,no
229,male,low,low,low,no
230,male,low,low,low,no
231,male,low,low,low,no
232,male,low,low,low,no
233,male,low,low,low,no
234,male,low,low,low,no
235,male,low,low,low,no
236,male,low,low,low,no
237,male,low,low,low,no
238,male,low,low,low,no
239,male,low,low,low,no
240,male,low,low,low,no
241,male,low,low,low,no
242,male,low,low,low,no
243,male,low,low,low,no
244,male,low,low,low,no
245,male,low,low,low,no
246,male,low,low,low,no
247,male,low,low,low,no
248,male,low,low,low,no
249,male,low,low,low,no
250,male,low,low,low,no
251,male,low,low,low,no
252,male,low,low,low,no
253,male,low,low,low,no
254,male,low,low,low,no
255,male,low,low,low,no
256,male,low,low,low,no
257,male,low,low,low,no
258,male,low,low,low,no
259,male,low,low,low,no
260,male,low,low,low,no
261,male,low,low,low,no
262,male,low,low,low,no
263,male,low,low,low,no
264,male,low,low,low,no
265,male,low,low,low,no
266,male,low,low,low,no
267,male,low,low,low,no
268,male,low,low,low,no
269,male,low,low,low,no
270,male,low,low,low,no
271,male,low,low,low,no
272,male,low,low,low,no
273,male,low,low,low,no
274,male,low,low,low,no
275,male,low,low,low,no
276,male,low,low,low,no
277,male,low,low,low,no
278,male,low,low,low,no
279,male,low,low,low,no
280,male,low,low,low,no
281,male,low,low,low,no
282,male,low,low,low,no
283,male,low,low,low,no
284,male,low,low,low,no
285,male,low,low,low,no
286,male,low,low,low,no
287,male,low,low,low,no
288,male,low,low,low,no
289,male,low,low,low,no
290,male,low,low,low,no
291,male,low,low,low,no
292,male,low,low,low,no
293,male,low,low,low,no
294,male,low,low,low,no
295,male,low,low,low,no
296,male,low,low,low,no
297,male,low,low,low,no
298,male,low,low,low,no
299,male,low,low,low,no
300,male,low,low,low,no
301,male,low,low,low,no
302,male,low,low,low,no
303,male,low,low,low,no
304,male,low,low,low,no
305,male,low,low,low,no
306,male,low,low,low,no
307,male,low,low,low,no
308,male,low,low,low,no
309,male,low,low,low,no
310,male,low,low,low,no
311,male,low,low,low,no
312,male,low,low,low,no
313,male,low,low,low,no
314,male,low,low,low,no
315,male,low,low,low,no
316,male,low,low,low,no
317,male,low,low,low,no
318,male,low,low,low,no
319,male,low,low,low,no
320,male,low,low,low,no
321,male,low,low,low,no
322,male,low,low,low,no
323,male,low,low,low,no
324,male,low,low,low,no
325,male,low,low,low,no
326,male,low,low,low,no
327,male,low,low,low,no
328,male,low,low,low,no
329,male,low,low,low,no
330,male,low,low,low,no
331,male,low,low,low,no
332,male,low,low,low,no
333,male,low,low,low,no
334,male,low,low,low,no
335,male,low,low,low,no
336,male,low,low,low,no
337,male,low,low,low,no
338,male,low,low,low,no
339,male,low,low,low,no
340,male,low,low,low,no
341,male,low,low,low,no
342,male,low,low,low,no
343,male,low,low,low,no
344,male,low,low,low,no
345,male,low,low,low,no
346,male,low,low,low,no
347,male,low,low,low,no
348,male,low,low,low,no
349,male,low,low,low,no
350,male,low,low,low,no
351,male,low,low,low,no
352,male,low,low,low,no
353,male,low,high,low,yes
354,male,low,high,low,yes
355,male,low,high,low,yes
356,male,low,high,low,yes
357,male,low,high,low,yes
358,male,low,high,low,yes
359,male,low,high,low,yes
360,male,low,high,low,yes
361,male,low,high,low,yes
362,male,low,high,low,yes
363,male,low,high,low,yes
364,male,low,high,low,yes
365,male,low,high,low,yes
366,male,low,high,low,no
367,male,low,high,low,no
368,male,low,high,low,no
369,male,low,high,low,no
370,male,low,high,low,no
371,male,low,high,low,no
372,male,low,high,low,no
373,male,low,high,low,no
374,male,low,high,low,no
375,male,low,high,low,no
376,male,low,high,low,no
