Sex,SocioEconomicStatus,ParentalEncouragement,IntelligenceQuotient,CollegePlans
male,low,low,low,yes
male,low,low,low,yes
male,low,low,low,yes
male,low,low,low,yes
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,low,low,no
male,low,high,low,yes
male,low,high,low,yes
male,low,high,low,yes
male,low,high,low,yes
male,low,high,low,yes
male,low,high,low,yes
male,low,high,low,yes
male,low,high,low,yes
male,low,high,low,yes
male,low,high,low,yes
male,low,high,low,yes
male,low,high,low,yes
male,low,high,low,yes
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
male,low,high,low,no
